line,round,client,train_acc,train_loss,train_avg_loss,train_total,log
1080,0,29,0.467187,451.207489,0.705012,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1084,0,12,0.510938,444.727322,0.694886,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1088,0,11,0.507812,443.774092,0.693397,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1092,0,42,0.5125,446.211052,0.697205,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1096,0,3,0.501563,449.121239,0.701752,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1100,0,28,0.485938,449.126778,0.701761,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1104,0,39,0.498437,448.538179,0.700841,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1108,0,32,0.495312,446.613899,0.697834,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1112,0,23,0.510938,446.965801,0.698384,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1116,0,5,0.50625,445.989513,0.696859,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1120,0,34,0.535937,440.772179,0.688707,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1124,0,36,0.507812,448.52412,0.700819,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1128,0,27,0.542188,443.927713,0.693637,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1132,0,35,0.498437,452.005747,0.706259,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1136,0,19,0.496875,447.402164,0.699066,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1140,0,8,0.485938,448.282188,0.700441,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1144,0,15,0.482812,444.721014,0.694877,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1148,0,46,0.50625,443.822809,0.693473,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1152,0,49,0.4625,452.604946,0.707195,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1156,0,30,0.507812,448.009476,0.700015,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
