line,round,test_acc,val_acc,test_loss,val_loss,test_acc_std,test_acc_min,test_acc_max,val_acc_std,val_acc_min,val_acc_max,log
1642,0,0.509793,0.520992,75.732345,14.524098,0.044541,0.422018,0.614679,0.107208,0.190476,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
2003,1,0.510708,0.523855,75.728304,14.523734,0.046703,0.418182,0.633028,0.103153,0.238095,0.761905,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
2365,2,0.511441,0.533397,75.725561,14.522471,0.043932,0.431193,0.642202,0.103962,0.238095,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
2726,3,0.506132,0.486641,75.715431,14.535172,0.054096,0.422018,0.623853,0.129821,0.190476,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
3087,4,0.516017,0.546756,75.717744,14.520241,0.051435,0.412844,0.633028,0.103502,0.333333,0.809524,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
3448,5,0.509244,0.502863,75.706903,14.527134,0.050757,0.422018,0.605505,0.121092,0.190476,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
3809,6,0.581549,0.601145,75.629346,14.502067,0.046402,0.477064,0.688073,0.088162,0.428571,0.809524,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
4170,7,0.505583,0.486641,75.61767,14.5168,0.053026,0.422018,0.614679,0.129821,0.190476,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
4531,8,0.505949,0.486641,75.606928,14.514319,0.052653,0.422018,0.614679,0.129821,0.190476,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
4892,9,0.551712,0.581107,75.599721,14.491669,0.052783,0.422018,0.66055,0.118023,0.333333,0.857143,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
5253,10,0.811459,0.802481,63.817135,12.233258,0.032805,0.727273,0.889908,0.077863,0.571429,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
5614,11,0.816218,0.808206,48.977522,9.574467,0.03024,0.718182,0.87156,0.0716,0.619048,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
5975,12,0.822442,0.832061,46.859807,8.910229,0.032001,0.743119,0.908257,0.064796,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
6336,13,0.823174,0.831107,45.287453,8.747899,0.035414,0.743119,0.889908,0.063354,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
6697,14,0.835621,0.835878,42.338019,8.408544,0.033682,0.754545,0.917431,0.065398,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
7058,15,0.855757,0.854008,37.539046,7.624915,0.03008,0.761468,0.917431,0.069671,0.666667,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
7419,16,0.859052,0.857824,37.027985,7.590102,0.030254,0.761468,0.917431,0.073537,0.666667,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
7780,17,0.856672,0.857824,37.517407,7.541512,0.030128,0.761468,0.917431,0.071028,0.666667,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
8141,18,0.863079,0.858779,36.394491,7.50925,0.032305,0.761468,0.93578,0.070048,0.666667,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
8297,19,0.865642,0.862595,35.646358,7.46565,0.030558,0.779817,0.926606,0.070364,0.714286,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log
