line,round,phase,log
1081,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1085,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1089,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1093,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1097,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1102,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1107,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1112,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1116,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1120,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1124,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1128,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1132,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1136,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1140,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1144,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1148,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1152,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1156,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1160,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1164,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1168,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1172,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1176,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1180,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1184,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1188,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1192,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1196,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1200,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1204,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1208,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1212,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1216,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1220,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1224,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1228,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1232,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1236,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1240,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1244,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1248,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1252,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1256,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1260,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1264,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1268,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1272,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1276,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1280,0,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1439,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1443,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1448,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1452,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1456,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1460,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1464,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1468,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1472,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1476,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
