line,log,kind,client_count,sample_size_total,client_delta_lora_A_mean,client_delta_lora_A_std,client_delta_lora_A_max,client_delta_lora_A_min,client_delta_lora_B_mean,client_delta_lora_B_std,client_delta_lora_B_max,client_delta_lora_B_min,client_delta_classifier_mean,client_delta_classifier_std,client_delta_classifier_max,client_delta_classifier_min,round,aggregator
1284,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.03769109,0.00856645,0.06860375,0.0,0.03998087,0.008659,0.06001296,0.0,0,ClientsAvgAggregator
1646,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02032605,0.01045318,0.07131584,0.0,0.04101315,0.00962508,0.06145345,0.0,1,ClientsAvgAggregator
2008,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.01067867,0.00630936,0.02132547,0.0,0.0,0.0,0.0,0.0,0.04048698,0.00957894,0.07648351,0.0,2,ClientsAvgAggregator
2371,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.22349919,0.05636538,0.2908525,0.0,0.04506969,0.00762675,0.06147843,0.0,3,ClientsAvgAggregator
2733,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.01602432,0.00617575,0.04557088,0.0,0.0312878,0.00621822,0.04687765,0.0,4,ClientsAvgAggregator
3095,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.04862263,0.02781426,0.09418156,0.0,0.0,0.0,0.0,0.0,0.03224571,0.00747122,0.05576255,0.0,5,ClientsAvgAggregator
3457,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.82418349,0.37195239,1.35580302,0.0,0.05626973,0.0107477,0.07915877,0.0,6,ClientsAvgAggregator
3819,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.24966144,0.05177466,0.44092914,0.0,0.05842697,0.01086705,0.08480416,0.0,7,ClientsAvgAggregator
4181,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.23320523,0.10040494,0.41999212,0.0,0.0,0.0,0.0,0.0,0.05397429,0.00865545,0.06568257,0.0,8,ClientsAvgAggregator
4543,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.74608843,0.29835107,1.21728437,0.0,0.05006662,0.00834206,0.06439738,0.0,9,ClientsAvgAggregator
4905,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.22764695,0.03756141,0.32583166,0.0,0.04814416,0.00778857,0.05926192,0.0,10,ClientsAvgAggregator
5267,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.24195846,0.10211349,0.43091468,0.0,0.0,0.0,0.0,0.0,0.04607818,0.00720959,0.05544997,0.0,11,ClientsAvgAggregator
5629,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.68547198,0.24605085,1.05416202,0.0,0.04980805,0.00786934,0.06260873,0.0,12,ClientsAvgAggregator
5991,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.22072771,0.03328067,0.25038277,0.0,0.05140618,0.00952125,0.06807745,0.0,13,ClientsAvgAggregator
6353,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.25029135,0.09071903,0.40240734,0.0,0.0,0.0,0.0,0.0,0.04706227,0.00773281,0.0587142,0.0,14,ClientsAvgAggregator
6715,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.769008,0.26366595,1.08816202,0.0,0.05212818,0.00838829,0.06251238,0.0,15,ClientsAvgAggregator
7077,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.21441456,0.05886409,0.56139543,0.0,0.04455519,0.00759005,0.05875098,0.0,16,ClientsAvgAggregator
7439,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.2590958,0.1011215,0.42377607,0.0,0.0,0.0,0.0,0.0,0.04485096,0.00688432,0.05266096,0.0,17,ClientsAvgAggregator
7801,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.62401572,0.2176538,0.92662817,0.0,0.04572794,0.00731812,0.05615277,0.0,18,ClientsAvgAggregator
8163,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.2275596,0.0337079,0.26914899,0.0,0.04299382,0.00652098,0.0494491,0.0,19,ClientsAvgAggregator
