line,round,client,train_acc,train_loss,train_avg_loss,train_total,log
1085,0,29,0.467187,451.207489,0.705012,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1089,0,12,0.510938,444.727322,0.694886,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1093,0,11,0.507812,443.774092,0.693397,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1097,0,42,0.5125,446.211052,0.697205,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1101,0,3,0.501563,449.121239,0.701752,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1105,0,28,0.485938,449.126778,0.701761,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1109,0,39,0.498437,448.538179,0.700841,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1113,0,32,0.495312,446.613899,0.697834,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1117,0,23,0.510938,446.965801,0.698384,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1121,0,5,0.50625,445.989513,0.696859,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1125,0,34,0.535937,440.772179,0.688707,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1129,0,36,0.507812,448.52412,0.700819,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1133,0,27,0.542188,443.927713,0.693637,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1137,0,35,0.498437,452.005747,0.706259,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1141,0,19,0.496875,447.402164,0.699066,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1145,0,8,0.485938,448.282188,0.700441,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1149,0,15,0.482812,444.721014,0.694877,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1153,0,46,0.50625,443.822809,0.693473,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1157,0,49,0.4625,452.604946,0.707195,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1161,0,30,0.507812,448.009476,0.700015,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1165,0,16,0.490625,449.991131,0.703111,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1169,0,31,0.4875,447.7407,0.699595,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1173,0,33,0.517188,446.142904,0.697098,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1177,0,17,0.507812,448.775494,0.701212,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1181,0,43,0.470313,450.272667,0.703551,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1185,0,21,0.471875,451.553131,0.705552,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1189,0,44,0.529687,443.784554,0.693413,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1193,0,9,0.498437,449.11776,0.701746,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1197,0,14,0.48125,449.306559,0.702041,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1201,0,26,0.521875,445.435617,0.695993,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1205,0,6,0.520312,448.099791,0.700156,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1209,0,18,0.528125,444.341427,0.694283,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1213,0,41,0.535937,446.382811,0.697473,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1217,0,50,0.517188,445.733004,0.696458,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1221,0,2,0.509375,447.829739,0.699734,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1225,0,13,0.495312,451.575481,0.705587,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1229,0,38,0.489063,448.460886,0.70072,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1233,0,25,0.525,447.551071,0.699299,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1237,0,7,0.49375,446.945396,0.698352,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1241,0,24,0.509375,446.946499,0.698354,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1245,0,37,0.5,448.49131,0.700768,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1249,0,22,0.465625,450.817875,0.704403,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1253,0,20,0.5375,447.227133,0.698792,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1257,0,10,0.495312,450.96875,0.704639,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1261,0,40,0.495312,448.384571,0.700601,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1265,0,47,0.504687,446.803295,0.69813,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1269,0,4,0.471875,450.631929,0.704112,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1275,0,1,0.479687,449.952263,0.70305,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1279,0,48,0.484375,449.105938,0.701728,640,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
