line,log,kind,total_param_count,total_trainable_params,lora_product_norm,lora_A_norm,lora_A_params,lora_A_trainable_params,lora_B_norm,lora_B_params,lora_B_trainable_params,classifier_norm,classifier_params,classifier_trainable_params,round,phase,mode,update_lora_A_norm,update_lora_A_params,update_lora_B_norm,update_lora_B_params,update_classifier_norm,update_classifier_params,client,sample_size
1083,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_start,1331716,1257988,0.0,9.79795878,73728,0,0.0,73728,73728,21.77341507,1184260,1184260,0,B,rolora,,,,,,,,
1084,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_end,1331716,1257988,0.0134884,9.79795878,73728,0,0.0134884,73728,73728,21.77283405,1184260,1184260,0,B,rolora,0.0,0,0.0134884,73728,0.0373736,1184260,,
1087,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_start,1331716,1257988,0.0,9.79795878,73728,0,0.0,73728,73728,21.77341507,1184260,1184260,0,B,rolora,,,,,,,,
1088,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_end,1331716,1257988,0.01025991,9.79795878,73728,0,0.01025991,73728,73728,21.77292571,1184260,1184260,0,B,rolora,0.0,0,0.01025991,73728,0.02236596,1184260,,
1091,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_start,1331716,1257988,0.0,9.79795878,73728,0,0.0,73728,73728,21.77341507,1184260,1184260,0,B,rolora,,,,,,,,
1092,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_end,1331716,1257988,0.01694353,9.79795878,73728,0,0.01694353,73728,73728,21.77289797,1184260,1184260,0,B,rolora,0.0,0,0.01694353,73728,0.02823235,1184260,,
1095,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_start,1331716,1257988,0.0,9.79795878,73728,0,0.0,73728,73728,21.77341507,1184260,1184260,0,B,rolora,,,,,,,,
1096,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_end,1331716,1257988,0.01194688,9.79795878,73728,0,0.01194688,73728,73728,21.77286636,1184260,1184260,0,B,rolora,0.0,0,0.01194688,73728,0.02444795,1184260,,
1099,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_start,1331716,1257988,0.0,9.79795878,73728,0,0.0,73728,73728,21.77341507,1184260,1184260,0,B,rolora,,,,,,,,
1100,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log,fit_end,1331716,1257988,0.0138723,9.79795878,73728,0,0.0138723,73728,73728,21.77286259,1184260,1184260,0,B,rolora,0.0,0,0.0138723,73728,0.03650034,1184260,,
