line,round,phase,log
1082,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1086,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1090,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1094,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1098,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1102,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1106,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1110,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1114,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1118,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1122,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1126,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1130,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1134,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1138,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1142,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1146,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1150,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1154,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1158,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1162,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1166,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1170,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1174,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1178,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1182,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1186,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1190,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1194,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1198,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1202,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1206,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1210,0,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
