line,key,value,log
1,repo,/Users/vliftode/personal/scalable-learning,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2,git_sha,f14db84,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
3,config,experiments/configs/proxy_qnli_roberta_base_c50_r4_lr1e-2.yaml,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
4,mode,rolora,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
5,tag,proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
6,sls_lora_init,orthogonal_a,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
7,sls_lora_gauge,orthogonal_a,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
8,sls_lora_lr_a,default,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
9,sls_lora_lr_b,default,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
10,sls_phase_policy,default,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
11,sls_phase_pattern,BBA,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
12,sls_b_warmup_rounds,default,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
13,sls_adaptive_min_b_rounds,default,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
14,sls_adaptive_max_b_rounds,default,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
15,sls_adaptive_val_gain_epsilon,default,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
16,sls_device,mps,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
17,sls_monitor,1,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
18,overrides,seed 0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
19,started_at_utc,2026-06-04T13:39:42Z,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
