line,round,test_acc,val_acc,test_loss,val_loss,test_acc_std,test_acc_min,test_acc_max,val_acc_std,val_acc_min,val_acc_max,log
1645,0,0.509793,0.520992,75.732345,14.524098,0.044541,0.422018,0.614679,0.107208,0.190476,0.714286,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2007,1,0.51199,0.526718,75.728311,14.523742,0.047101,0.418182,0.633028,0.106789,0.238095,0.809524,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2370,2,0.508512,0.527672,75.728394,14.522649,0.046717,0.422018,0.614679,0.099431,0.238095,0.714286,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2732,3,0.506132,0.487595,75.622284,14.517907,0.053171,0.422018,0.614679,0.128864,0.190476,0.714286,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
3094,4,0.579535,0.594466,75.611885,14.500171,0.044688,0.458716,0.690909,0.105325,0.380952,0.809524,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
3456,5,0.531393,0.521947,75.57384,14.500857,0.053859,0.422018,0.633028,0.130885,0.190476,0.714286,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
3818,6,0.829032,0.82729,45.447596,8.78401,0.039036,0.743119,0.899083,0.074603,0.619048,0.952381,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
4180,7,0.835621,0.830153,43.043839,8.529761,0.038649,0.752294,0.908257,0.062723,0.666667,0.952381,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
4542,8,0.842211,0.839695,41.190527,8.260522,0.039248,0.761468,0.93578,0.06937,0.619048,0.952381,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
4904,9,0.848618,0.854008,39.204379,7.874443,0.034986,0.770642,0.926606,0.06769,0.666667,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
5266,10,0.851547,0.854962,38.200763,7.756315,0.032644,0.763636,0.917431,0.071382,0.666667,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
5628,11,0.858503,0.864504,37.328676,7.524242,0.032943,0.772727,0.926606,0.062837,0.714286,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
5990,12,0.858869,0.862595,36.843248,7.341899,0.02877,0.788991,0.917431,0.067064,0.714286,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
6352,13,0.867655,0.873092,35.165901,7.176458,0.028652,0.809091,0.917431,0.069733,0.666667,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
6714,14,0.866557,0.871183,35.256914,7.205777,0.030583,0.807339,0.926606,0.063346,0.666667,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
7076,15,0.871499,0.878817,34.052289,6.897874,0.030946,0.8,0.926606,0.06683,0.761905,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
7438,16,0.874062,0.882634,33.345615,6.823426,0.029994,0.807339,0.926606,0.065473,0.761905,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
7800,17,0.870218,0.871183,33.715058,6.943774,0.029633,0.809091,0.918182,0.06683,0.714286,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
8162,18,0.882482,0.883588,31.811747,6.631307,0.02638,0.834862,0.936364,0.069475,0.714286,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
8319,19,0.882848,0.882634,31.681719,6.615114,0.026444,0.834862,0.936364,0.068187,0.714286,1.0,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
