line,round,phase,log
1708,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1709,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1710,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1711,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1712,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1713,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1714,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1715,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1716,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1717,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1718,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1719,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1720,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1721,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1722,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1723,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1724,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1725,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1726,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1727,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1728,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1729,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1730,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1731,0,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
