line,round,test_acc,val_acc,test_loss,val_loss,test_acc_std,test_acc_min,test_acc_max,val_acc_std,val_acc_min,val_acc_max,log
1635,0,0.509793,0.520992,75.732345,14.524098,0.044541,0.422018,0.614679,0.107208,0.190476,0.714286,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
1993,1,0.510708,0.523855,75.728304,14.523734,0.046703,0.418182,0.633028,0.103153,0.238095,0.761905,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
2351,2,0.508329,0.527672,75.728371,14.522645,0.046699,0.422018,0.614679,0.098974,0.238095,0.714286,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
2709,3,0.506315,0.487595,75.636256,14.520145,0.053244,0.422018,0.614679,0.128864,0.190476,0.714286,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
3067,4,0.571664,0.596374,75.628894,14.503485,0.04259,0.449541,0.663636,0.104024,0.380952,0.809524,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
3425,5,0.525169,0.51145,75.602041,14.50636,0.053342,0.418182,0.633028,0.128744,0.190476,0.714286,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
3783,6,0.827567,0.820611,49.809875,9.568767,0.03697,0.733945,0.899083,0.064379,0.666667,0.904762,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
4141,7,0.829764,0.826336,44.49069,8.68672,0.038001,0.733945,0.908257,0.065129,0.666667,0.952381,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
4499,8,0.838367,0.836832,41.770416,8.573328,0.03481,0.761468,0.908257,0.068129,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
4857,9,0.854659,0.847328,37.883494,7.639258,0.033154,0.770642,0.926606,0.070544,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
5215,10,0.860699,0.861641,36.904388,7.564417,0.032912,0.770642,0.917431,0.068141,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
5573,11,0.863445,0.860687,36.140997,7.415968,0.029037,0.770642,0.917431,0.066514,0.619048,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
5931,12,0.867655,0.862595,35.261055,7.223425,0.032214,0.779817,0.927273,0.062876,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
6289,13,0.874245,0.873092,33.87747,7.144004,0.031568,0.788991,0.93578,0.062894,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
6647,14,0.873879,0.870229,33.873707,7.174359,0.032178,0.788991,0.945455,0.054731,0.761905,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
7005,15,0.876442,0.877863,32.456147,6.866195,0.029982,0.809091,0.926606,0.062753,0.714286,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
7363,16,0.879187,0.878817,32.03796,6.789644,0.031853,0.809091,0.927273,0.063512,0.714286,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
7721,17,0.87937,0.878817,31.918806,6.850325,0.030667,0.809091,0.93578,0.060588,0.761905,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
8079,18,0.88358,0.887405,30.750358,6.476986,0.025239,0.834862,0.93578,0.064744,0.761905,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
8234,19,0.885411,0.889313,30.489142,6.48497,0.02709,0.834862,0.93578,0.061654,0.761905,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log
