line,round,client,train_acc,train_loss,train_avg_loss,train_total,log
1080,0,28,0.490625,452.567945,0.707137,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1084,0,36,0.526563,445.994617,0.696867,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1088,0,41,0.507812,446.956503,0.69837,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1092,0,39,0.442188,453.659922,0.708844,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1096,0,3,0.53125,444.894722,0.695148,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1100,0,4,0.485938,450.499853,0.703906,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1104,0,49,0.503125,449.543344,0.702411,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1108,0,30,0.484375,450.522411,0.703941,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1112,0,47,0.501563,447.602543,0.699379,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1116,0,32,0.5,447.156469,0.698682,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1120,0,33,0.509375,445.824928,0.696601,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1124,0,40,0.521875,444.877548,0.695121,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1128,0,22,0.514062,446.553715,0.69774,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1132,0,37,0.526563,445.788618,0.696545,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1136,0,20,0.478125,446.897163,0.698277,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1140,0,43,0.5125,446.974377,0.698397,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1144,0,50,0.473438,449.921879,0.703003,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1148,0,27,0.496875,451.323771,0.705193,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1152,0,23,0.457813,451.129976,0.704891,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1156,0,14,0.5125,448.442072,0.700691,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1160,0,42,0.514062,444.662027,0.694784,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1164,0,18,0.514062,442.933405,0.692083,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1168,0,46,0.525,445.882515,0.696691,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1172,0,25,0.48125,448.167738,0.700262,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1176,0,24,0.535937,446.694139,0.69796,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1180,0,5,0.489063,446.411497,0.697518,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1184,0,34,0.521875,447.36319,0.699005,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1188,0,15,0.504687,443.165344,0.692446,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1192,0,31,0.48125,448.884232,0.701382,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1196,0,11,0.520312,448.020573,0.700032,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1200,0,29,0.517188,447.613375,0.699396,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1204,0,45,0.509375,445.963985,0.696819,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1208,0,35,0.53125,448.947336,0.70148,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1212,0,19,0.492188,447.771986,0.699644,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1216,0,21,0.479687,449.542955,0.702411,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1220,0,26,0.459375,451.818285,0.705966,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1224,0,7,0.482812,448.487059,0.700761,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1228,0,8,0.51875,444.2761,0.694181,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
