line,log,kind,client_count,sample_size_total,client_delta_lora_A_mean,client_delta_lora_A_std,client_delta_lora_A_max,client_delta_lora_A_min,client_delta_lora_B_mean,client_delta_lora_B_std,client_delta_lora_B_max,client_delta_lora_B_min,client_delta_classifier_mean,client_delta_classifier_std,client_delta_classifier_max,client_delta_classifier_min,round,aggregator,aggregate_update_lora_A_norm,aggregate_update_lora_A_params,aggregate_update_lora_B_norm,aggregate_update_lora_B_params,aggregate_update_classifier_norm,aggregate_update_classifier_params,aggregate_lora_A_norm,aggregate_lora_A_params,aggregate_lora_B_norm,aggregate_lora_B_params,aggregate_classifier_norm,aggregate_classifier_params,aggregate_lora_product_norm
1279,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02034795,0.00821657,0.06803788,0.0,0.04045432,0.00902294,0.0597553,0.0,0,ClientsAvgAggregator,,,,,,,,,,,,,
1280,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,0,ClientsAvgAggregator,0.0,0,0.01363779,73728,0.02872344,1184260,0.0,0,0.0058632,73728,21.73947205,1184260,0.0
1636,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02044214,0.00503193,0.03800489,0.0,0.0428789,0.01048143,0.06304827,0.0,1,ClientsAvgAggregator,,,,,,,,,,,,,
1637,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,1,ClientsAvgAggregator,0.0,0,0.01478105,73728,0.03266316,1184260,0.0,0,0.01021947,73728,21.73894609,1184260,0.0
1994,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.01118067,0.00651535,0.02221627,0.0,0.0,0.0,0.0,0.0,0.03750912,0.0080478,0.0607198,0.0,2,ClientsAvgAggregator,,,,,,,,,,,,,
1995,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,2,ClientsAvgAggregator,0.01117063,73728,0.0,0,0.02446901,1184260,9.78807831,73728,0.0,0,21.73843293,1184260,0.0
2352,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.44787247,0.1048992,0.52535453,0.0,0.05176299,0.00902151,0.06223683,0.0,3,ClientsAvgAggregator,,,,,,,,,,,,,
2353,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,3,ClientsAvgAggregator,0.0,0,0.44036915,73728,0.04374395,1184260,0.0,0,0.12752008,73728,21.73800515,1184260,0.0
2710,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.01967113,0.0102066,0.07075026,0.0,0.03399175,0.00669502,0.05030736,0.0,4,ClientsAvgAggregator,,,,,,,,,,,,,
2711,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,4,ClientsAvgAggregator,0.0,0,0.01061453,73728,0.02313196,1184260,0.0,0,0.13263371,73728,21.73752483,1184260,0.0
3068,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.21840741,0.11094258,0.35879443,0.0,0.0,0.0,0.0,0.0,0.03932193,0.00928227,0.06167562,0.0,5,ClientsAvgAggregator,,,,,,,,,,,,,
3069,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,5,ClientsAvgAggregator,0.21392225,73728,0.0,0,0.02846376,1184260,9.78296499,73728,0.0,0,21.7371635,1184260,0.0
3426,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.82086825,0.3319235,1.35048757,0.0,0.05657949,0.0102553,0.08013926,0.0,6,ClientsAvgAggregator,,,,,,,,,,,,,
3427,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,6,ClientsAvgAggregator,0.0,0,0.71802775,73728,0.04194643,1184260,0.0,0,0.83468057,73728,21.73673715,1184260,0.0
