line,round,test_acc,val_acc,test_loss,val_loss,test_acc_std,test_acc_min,test_acc_max,val_acc_std,val_acc_min,val_acc_max,log
1635,0,0.519495,0.495229,75.697625,14.530659,0.055721,0.412844,0.633028,0.126335,0.238095,0.761905,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1993,1,0.50778,0.525763,75.705368,14.522527,0.046866,0.394495,0.587156,0.099777,0.285714,0.761905,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2351,2,0.511258,0.485687,75.689836,14.530766,0.051904,0.422018,0.623853,0.131457,0.190476,0.714286,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2709,3,0.5054,0.486641,75.60119,14.542309,0.053123,0.422018,0.614679,0.129821,0.190476,0.714286,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
3067,4,0.558301,0.54771,75.50406,14.494588,0.053609,0.458716,0.66055,0.118617,0.285714,0.714286,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
3425,5,0.626945,0.604962,75.052065,14.411278,0.046824,0.527273,0.715596,0.110499,0.238095,0.809524,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
3783,6,0.81695,0.820611,48.056937,9.215251,0.036862,0.733945,0.880734,0.080506,0.619048,0.952381,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
4141,7,0.82171,0.822519,45.583189,8.853827,0.033099,0.733945,0.889908,0.077382,0.666667,0.952381,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
4499,8,0.832144,0.839695,42.787928,8.389995,0.034608,0.761468,0.908257,0.06805,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
4857,9,0.85173,0.841603,39.194807,7.87097,0.033768,0.754545,0.917431,0.075443,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
5215,10,0.851181,0.848282,38.597718,7.832491,0.033797,0.752294,0.917431,0.072566,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
5573,11,0.855391,0.857824,37.378925,7.701108,0.0329,0.754545,0.908257,0.076746,0.619048,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
5931,12,0.862164,0.854962,36.662794,7.498578,0.032414,0.798165,0.909091,0.076295,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
6289,13,0.866923,0.861641,35.761574,7.387249,0.031711,0.8,0.926606,0.074087,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
6647,14,0.86436,0.854008,35.537074,7.382982,0.03171,0.8,0.917431,0.072917,0.666667,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
7005,15,0.876075,0.875,33.438459,7.094162,0.03105,0.790909,0.918182,0.066839,0.714286,1.0,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
