run_id,name,created_at,state,group,method,lr,seed,tags,client_num,total_round_num,summary_server_test_acc,summary_server_round,summary_step,runtime_seconds,history_points,history_error,best_server_test_acc,best_round,final_server_test_acc,final_round
wzf4gl9b,rolora_lr1e-2_seed0,2026-05-27T20:03:34Z,crashed,qnli_c50_r4,rolora,1e-2,0,c50;lr1e-2;qnli;r4;rolora;seed0,50,20,0.8213961922030825,19,19,13936.994729445,20,,0.8213961922030825,19,0.8213961922030825,19
9aq0dp7o,rolora_lr1e-3_seed0,2026-05-28T00:05:18Z,crashed,qnli_c50_r4,rolora,1e-3,0,c50;lr1e-3;qnli;r4;rolora;seed0,50,20,0.5194922937443336,19,19,13917.756554134,20,,0.5194922937443336,19,0.5194922937443336,19
ouii6v7m,rolora_lr5e-4_seed0,2026-05-28T04:06:06Z,crashed,qnli_c50_r4,rolora,5e-4,0,c50;lr5e-4;qnli;r4;rolora;seed0,50,20,0.4786944696282865,19,19,13891.798618308,20,,0.48322756119673616,5,0.4786944696282865,19
rkbj070c,rolora_lr5e-2_seed0,2026-05-28T08:07:31Z,crashed,qnli_c50_r4,rolora,5e-2,0,c50;lr5e-2;qnli;r4;rolora;seed0,50,20,0.6355394378966455,19,19,13908.746082214,20,,0.771532184950136,3,0.6355394378966455,19
ccjhvfcj,rolora_lr5e-3_seed0,2026-05-28T12:08:40Z,crashed,qnli_c50_r4,rolora,5e-3,0,c50;lr5e-3;qnli;r4;rolora;seed0,50,20,0.7416137805983681,19,19,13910.704592771,20,,0.8485947416137806,17,0.7416137805983681,19
6f2izvgk,rolora_lr2e-2_seed0,2026-05-28T16:10:23Z,crashed,qnli_c50_r4,rolora,2e-2,0,c50;lr2e-2;qnli;r4;rolora;seed0,50,20,0.8585675430643699,19,19,13911.347126766,20,,0.8640072529465095,16,0.8585675430643699,19
dhc1rmsa,rolora_lr2e-3_seed0,2026-05-28T20:10:47Z,crashed,qnli_c50_r4,rolora,2e-3,0,c50;lr2e-3;qnli;r4;rolora;seed0,50,20,0.5611967361740707,19,19,13981.298878779,20,,0.5611967361740707,18,0.5611967361740707,19
0fmsijf3,rolora_lr1e-1_seed0,2026-05-29T00:11:22Z,crashed,qnli_c50_r4,rolora,1e-1,0,c50;lr1e-1;qnli;r4;rolora;seed0,50,20,0.4796010879419764,19,19,13872.198255596,20,,0.5258386219401632,0,0.4796010879419764,19
rn92d3z0,rolora_lr1e-2_seed1,2026-05-29T04:11:54Z,crashed,qnli_c50_r4,rolora,1e-2,1,c50;lr1e-2;qnli;r4;rolora;seed1,50,20,0.8712601994560291,19,19,13866.520392182,20,,0.8712601994560291,19,0.8712601994560291,19
vm4kcqg8,rolora_lr2e-2_seed1,2026-05-29T08:13:02Z,crashed,qnli_c50_r4,rolora,2e-2,1,c50;lr2e-2;qnli;r4;rolora;seed1,50,20,0.7162284678150499,19,19,13915.893361529,20,,0.771532184950136,4,0.7162284678150499,19
9rut894v,rolora_lr5e-3_seed1,2026-05-29T12:14:36Z,crashed,qnli_c50_r4,rolora,5e-3,1,c50;lr5e-3;qnli;r4;rolora;seed1,50,20,0.843155031731641,19,19,14031.414251631,20,,0.844061650045331,18,0.843155031731641,19
kuixcujx,rolora_lr1e-2_seed2,2026-05-29T18:48:35Z,crashed,qnli_c50_r4,rolora,1e-2,2,c50;lr1e-2;qnli;r4;rolora;seed2,50,20,0.8603807796917498,19,19,13951.561671813,20,,0.8603807796917498,19,0.8603807796917498,19
oaql16yo,rolora_lr2e-2_seed2,2026-05-29T22:51:00Z,crashed,qnli_c50_r4,rolora,2e-2,2,c50;lr2e-2;qnli;r4;rolora;seed2,50,20,0.8612873980054397,19,19,13933.749197473,20,,0.8612873980054397,19,0.8612873980054397,19
jco7wbc1,rolora_lr5e-3_seed2,2026-05-30T02:50:23Z,crashed,qnli_c50_r4,rolora,5e-3,2,c50;lr5e-3;qnli;r4;rolora;seed2,50,20,0.8594741613780599,19,19,13902.526010727,20,,0.8594741613780599,19,0.8594741613780599,19
7jimqqxf,lora_lr1e-2_seed0,2026-05-30T06:51:57Z,crashed,qnli_c50_r4,lora,1e-2,0,c50;lora;lr1e-2;qnli;r4;seed0,50,20,0.5231187669990934,19,19,14038.058933197,20,,0.5448776065276518,18,0.5231187669990934,19
