line,log,kind,client_count,sample_size_total,client_delta_lora_A_mean,client_delta_lora_A_std,client_delta_lora_A_max,client_delta_lora_A_min,client_delta_lora_B_mean,client_delta_lora_B_std,client_delta_lora_B_max,client_delta_lora_B_min,client_delta_classifier_mean,client_delta_classifier_std,client_delta_classifier_max,client_delta_classifier_min,round,aggregator,aggregate_update_lora_A_norm,aggregate_update_lora_A_params,aggregate_update_lora_B_norm,aggregate_update_lora_B_params,aggregate_update_classifier_norm,aggregate_update_classifier_params,aggregate_lora_A_norm,aggregate_lora_A_params,aggregate_lora_B_norm,aggregate_lora_B_params,aggregate_classifier_norm,aggregate_classifier_params,aggregate_lora_product_norm
1283,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.03769109,0.00856645,0.06860375,0.0,0.03998087,0.008659,0.06001296,0.0,0,ClientsAvgAggregator,,,,,,,,,,,,,
1284,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,0,ClientsAvgAggregator,0.0,0,0.03434867,73728,0.02942712,1184260,0.0,0,0.0063816,73728,21.77285423,1184260,0.0
1644,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.01996786,0.01084422,0.07174988,0.0,0.04101542,0.00962896,0.06144674,0.0,1,ClientsAvgAggregator,,,,,,,,,,,,,
1645,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,1,ClientsAvgAggregator,0.0,0,0.01202016,73728,0.03046444,1184260,0.0,0,0.0109235,73728,21.77231626,1184260,0.0
2005,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02104751,0.01761182,0.10534629,0.0,0.04012986,0.00943221,0.07615063,0.0,2,ClientsAvgAggregator,,,,,,,,,,,,,
2006,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,2,ClientsAvgAggregator,0.0,0,0.0110328,73728,0.02914483,1184260,0.0,0,0.01581094,73728,21.77177833,1184260,0.0
2367,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.0174845,0.00502826,0.03493082,0.0,0.03662988,0.00710943,0.051505,0.0,3,ClientsAvgAggregator,,,,,,,,,,,,,
2368,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,3,ClientsAvgAggregator,0.0,0,0.01133245,73728,0.0257007,1184260,0.0,0,0.01873384,73728,21.77124877,1184260,0.0
2728,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.01653679,0.00613642,0.04534367,0.0,0.03380917,0.00637149,0.04768496,0.0,4,ClientsAvgAggregator,,,,,,,,,,,,,
2729,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,4,ClientsAvgAggregator,0.0,0,0.00928827,73728,0.02022528,1184260,0.0,0,0.02188969,73728,21.77072529,1184260,0.0
3089,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.01364913,0.00800265,0.02699967,0.0,0.0,0.0,0.0,0.0,0.03673701,0.00794459,0.05851711,0.0,5,ClientsAvgAggregator,,,,,,,,,,,,,
3090,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,5,ClientsAvgAggregator,0.01362016,73728,0.0,0,0.02486459,1184260,9.78815304,73728,0.0,0,21.77020329,1184260,0.0
3450,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.11317383,0.04955612,0.18486108,0.0,0.03175357,0.00625417,0.04947662,0.0,6,ClientsAvgAggregator,,,,,,,,,,,,,
3451,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,6,ClientsAvgAggregator,0.0,0,0.10883405,73728,0.02059659,1184260,0.0,0,0.10832888,73728,21.76970804,1184260,0.0
3811,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.01991161,0.00523001,0.04485634,0.0,0.03525108,0.00864477,0.06022796,0.0,7,ClientsAvgAggregator,,,,,,,,,,,,,
3812,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,7,ClientsAvgAggregator,0.0,0,0.01571765,73728,0.02453096,1184260,0.0,0,0.11092645,73728,21.76922054,1184260,0.0
4172,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.01543366,0.00385142,0.02637597,0.0,0.03425622,0.00856977,0.05546526,0.0,8,ClientsAvgAggregator,,,,,,,,,,,,,
4173,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,8,ClientsAvgAggregator,0.0,0,0.00993388,73728,0.02521178,1184260,0.0,0,0.11370573,73728,21.76872942,1184260,0.0
4533,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.03203592,0.01851862,0.06482436,0.0,0.0,0.0,0.0,0.0,0.03268953,0.00671374,0.04776127,0.0,9,ClientsAvgAggregator,,,,,,,,,,,,,
4534,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,9,ClientsAvgAggregator,0.03173237,73728,0.0,0,0.02100552,1184260,9.77900341,73728,0.0,0,21.76825303,1184260,0.0
