line,round,test_acc,val_acc,test_loss,val_loss,test_acc_std,test_acc_min,test_acc_max,val_acc_std,val_acc_min,val_acc_max,log
1643,0,0.5054,0.493321,75.730855,14.540591,0.053967,0.422018,0.614679,0.130679,0.190476,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
2004,1,0.514369,0.487595,75.727273,14.532328,0.041424,0.422018,0.6,0.116043,0.238095,0.857143,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
2365,2,0.5054,0.486641,75.72389,14.547381,0.053123,0.422018,0.614679,0.129821,0.190476,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
2726,3,0.507047,0.489504,75.714923,14.535648,0.05375,0.422018,0.614679,0.129383,0.190476,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
3087,4,0.685887,0.674618,74.556565,14.3157,0.043099,0.581818,0.788991,0.108692,0.380952,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
3448,5,0.764598,0.759542,64.313434,12.283802,0.037175,0.663636,0.834862,0.086296,0.52381,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
3809,6,0.79114,0.807252,58.67813,11.083864,0.034419,0.690909,0.853211,0.076681,0.571429,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
4169,7,0.796266,0.80916,54.492218,10.239588,0.03458,0.690909,0.862385,0.071193,0.619048,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
4531,8,0.796632,0.813931,49.875521,9.382192,0.034266,0.7,0.862385,0.063292,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
4892,9,0.827018,0.839695,43.351994,8.389471,0.037991,0.718182,0.917431,0.063656,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
5253,10,0.835621,0.849237,42.360063,8.133806,0.034926,0.754545,0.917431,0.067568,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
5614,11,0.835988,0.848282,41.683826,8.076969,0.036754,0.745455,0.917431,0.066433,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
5975,12,0.837818,0.84542,41.451014,7.987374,0.036172,0.772727,0.908257,0.065716,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
6336,13,0.842943,0.849237,40.055142,7.82678,0.038807,0.763636,0.926606,0.070267,0.666667,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
6697,14,0.856306,0.86355,37.227351,7.656989,0.035461,0.754545,0.926606,0.066033,0.714286,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
7058,15,0.857587,0.861641,37.07673,7.613101,0.035781,0.763636,0.93578,0.068356,0.714286,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
7418,16,0.859235,0.866412,36.87097,7.573693,0.035051,0.772727,0.926606,0.06687,0.714286,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
7780,17,0.860699,0.868321,36.614938,7.618152,0.035595,0.772727,0.93578,0.0622,0.714286,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
8141,18,0.867289,0.865458,35.663171,7.293228,0.031658,0.8,0.926606,0.07062,0.714286,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
8297,19,0.87095,0.873092,35.290333,7.324961,0.032112,0.8,0.926606,0.061525,0.714286,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
