line,round,test_acc,val_acc,test_loss,val_loss,test_acc_std,test_acc_min,test_acc_max,val_acc_std,val_acc_min,val_acc_max,log
1271,0,0.509793,0.520992,75.732345,14.524098,0.044541,0.422018,0.614679,0.107208,0.190476,0.714286,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1475,1,0.509061,0.525763,75.73087,14.524172,0.045722,0.418182,0.623853,0.103576,0.238095,0.761905,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1908,2,0.563793,0.580153,75.640953,14.504403,0.049283,0.431193,0.66055,0.088889,0.380952,0.761905,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2112,3,0.506864,0.487595,75.623638,14.514914,0.05398,0.422018,0.614679,0.128864,0.190476,0.714286,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2316,4,0.72268,0.695611,71.035276,13.631489,0.03729,0.633028,0.816514,0.093015,0.52381,0.904762,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2520,5,0.816401,0.826336,46.483972,9.036298,0.032536,0.745455,0.87156,0.065252,0.666667,0.952381,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2945,6,0.4946,0.513359,74.82618,14.242522,0.053123,0.385321,0.577982,0.129821,0.285714,0.809524,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
3149,7,0.754714,0.784351,59.254711,11.049053,0.033383,0.642202,0.825688,0.086803,0.571429,0.952381,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
3353,8,0.512722,0.489504,75.36791,14.482103,0.05242,0.427273,0.633028,0.125829,0.190476,0.714286,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
3557,9,0.652206,0.671756,74.661103,14.304237,0.037935,0.568807,0.733945,0.106788,0.428571,0.857143,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
3761,10,0.692111,0.725191,64.86714,12.024523,0.044375,0.6,0.761468,0.098052,0.52381,0.904762,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
4183,11,0.738605,0.760496,59.229243,10.834304,0.043387,0.633028,0.825688,0.087291,0.571429,0.952381,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
4387,12,0.708951,0.737595,61.761669,11.329951,0.043278,0.605505,0.798165,0.086657,0.571429,0.904762,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
4591,13,0.758924,0.781489,56.29589,10.502277,0.038472,0.678899,0.845455,0.084013,0.571429,0.952381,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
4795,14,0.7743,0.796756,54.178645,10.014912,0.044099,0.66055,0.862385,0.072878,0.619048,0.904762,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
5214,15,0.7959,0.802481,50.417849,9.494464,0.035087,0.715596,0.87156,0.079563,0.619048,0.952381,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
5418,16,0.803405,0.80916,49.276998,9.285125,0.036558,0.724771,0.880734,0.069219,0.666667,0.952381,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
5622,17,0.810178,0.822519,47.130367,8.92166,0.038293,0.688073,0.87156,0.06733,0.619048,0.95,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
5826,18,0.825371,0.820611,44.048011,8.671155,0.033733,0.745455,0.917431,0.078161,0.619048,1.0,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
5979,19,0.829398,0.823473,43.020599,8.473358,0.036098,0.754545,0.926606,0.078092,0.666667,1.0,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
